[Sample Definition]	
Type	Time
Use Buffer	FALSE
delta	0.0000000025
start	-0.0000010250
nsample	1620.0000000000
nframes	1.000000
nAnalog	4.000000
nDigitalSets	0.000000
ChScale A 	1.000000
ChOffset A 	0.000000
ChScale B 	1.000000
ChOffset B 	0.000000
ChScale C 	1.000000
ChOffset C 	0.000000
ChScale D 	1.000000
ChOffset D 	0.000000
TriggerTime	46106.249316556	3/24/2026 9:59:00 AM
[Data]
Time	Chan A	Chan B	Chan C	Chan D
-0.0000003650 	 0.0064314087 	 0.0167062841 	 0.0113727581 	 0.1290314794
-0.0000003625 	 0.0066408156 	 0.0180700626 	 0.0062267128 	 0.1269743890
-0.0000003600 	 0.0071643326 	 0.0181749687 	 0.0051975045 	 0.1238887236
-0.0000003575 	 0.0066408156 	 0.0188044049 	 0.0072559211 	 0.1187459826
-0.0000003550 	 0.0070596291 	 0.0176504385 	 0.0093143396 	 0.1197745278
-0.0000003525 	 0.0074784430 	 0.0178602505 	 0.0062267128 	 0.1249172762
-0.0000003500 	 0.0074784430 	 0.0163915660 	 -0.0009777509 	 0.1228601858
-0.0000003475 	 0.0078972569 	 0.0146081634 	 0.0103435479 	 0.1321171373
-0.0000003450 	 0.0080019599 	 0.0120904185 	 0.0031390861 	 0.1331456751
-0.0000003425 	 0.0072690360 	 0.0096775806 	 0.0093143396 	 0.1331456751
-0.0000003400 	 0.0074784430 	 0.0066353064 	 0.0072559211 	 0.1382884234
-0.0000003375 	 0.0073737400 	 0.0043273736 	 0.0031390861 	 0.1321171373
-0.0000003350 	 0.0074784430 	 0.0018096289 	 0.0093143396 	 0.1269743890
-0.0000003325 	 0.0072690360 	 -0.0014424578 	 0.0021098778 	 0.1310885847
-0.0000003300 	 0.0072690360 	 -0.0041700145 	 0.0093143396 	 0.1269743890
-0.0000003275 	 0.0072690360 	 -0.0060583232 	 0.0021098778 	 0.1228601858
-0.0000003250 	 0.0068502226 	 -0.0073171956 	 0.0082851313 	 0.1280029416
-0.0000003225 	 0.0069549256 	 -0.0099398457 	 0.0093143396 	 0.1208030805
-0.0000003200 	 0.0070596291 	 -0.0106741879 	 0.0072559211 	 0.1280029416
-0.0000003175 	 0.0062220017 	 -0.0110938121 	 0.0041682944 	 0.1290314794
-0.0000003150 	 0.0061172983 	 -0.0117232483 	 0.0041682944 	 0.1300600320
-0.0000003125 	 0.0058031878 	 -0.0107790940 	 0.0062267128 	 0.1269743890
